PID,wslong,wslat,wsplace
1491, 116.446928, 39.954114, School 2375
11909, 116.443402, 39.968171, School 2196
20417, 116.564333, 39.794029, School 2344
11819, 115.915943, 39.709636, School 2241
17207, 116.591774, 39.901823, School 2169
10935, 116.297575, 39.959766, School 2137
8668, 116.436005, 39.87512, School 2294
1422, 116.796533, 39.802539, School 2450
14653, 116.574388, 39.907166, School 2243
9188, 116.292963, 39.860711, School 2228
12215, 116.241645, 39.893496, School 2388
2734, 117.1967164, 40.19544789, School 2484
19902, 116.513509, 39.895886, School 2192
9203, 116.421458, 39.826181, School 2399
10885, 116.313767, 40.043864, School 2410
3764, 116.216818, 39.979761, School 2431
20141, 116.105645, 39.918323, School 2441
11721, 116.651074, 40.150029, School 2430
14897, 116.41444, 39.884119, School 2145
13925, 116.517474, 40.016605, School 2393
18259, 116.394888, 39.711732, School 2146
18775, 116.327032, 39.764503, School 2207
5083, 116.465838, 39.968655, School 2426
18375, 116.1775, 40.173289, School 2242
4865, 116.303071, 39.862176, School 2035
11711, 116.535394, 40.610496, School 2451
9041, 116.681144, 40.148513, School 2194
183, 116.166343, 39.805391, School 2247
8119, 116.369723, 39.927092, School 2147
2219, 116.490671, 39.964348, School 1996
18379, 116.052978, 39.688162, School 2391
9994, 116.261549, 39.855349, School 2362
5209, 116.400099, 40.039447, School 2452
9663, 116.383676, 39.946777, School 2184
12363, 116.042924, 39.786089, School 2254
3007, 116.417272, 39.965598, School 2218
11315, 116.666401, 39.83305, School 2392
19287, 116.424712, 40.029046, School 2153
12985, 116.61979, 40.379795, School 2126
4873, 116.312117, 40.143218, School 2376
11889, 116.455302, 40.098778, School 2208
20357, 116.796533, 39.802539, School 2450
14345, 116.462622, 39.923933, School 2058
19351, 116.1775, 40.173289, School 2242
8275, 116.53162, 39.951382, School 2364
21053, 116.298968, 39.94681, School 2231
11799, 116.025979, 39.86492, School 2129
773, 116.343262, 39.819683, School 2397
14249, 116.6456495, 39.90303982, School 2480
13780, 116.374651, 39.747981, School 2398
12485, 116.327215, 39.894264, School 2150
11841, 116.635916, 39.794896, School 2298
12267, 116.426051, 39.950465, School 2390
10163, 116.819042, 39.819042, School 2401
19920, 116.708214, 39.728923, School 2234
11723, 116.560483, 39.871563, School 2439
