FID_,Capacity,Age,long,lat,Location
1806,1,4,113.96438600000,22.54286861000,228
643,3,5,113.96393680000,22.54498366000,228
1190,1,6,113.96217760000,22.54347838000,228
119,3,6,113.96743340000,22.54290141000,228
1935,1,8,113.96219990000,22.53861162000,228
1072,1,5,114.50229220000,22.59605766000,229
1238,1,3,113.92874520000,22.59221230000,230
1244,3,6,114.19098310000,22.64747785000,231
267,6,6,114.18691310000,22.64517736000,231
1633,1,3,113.98464000000,22.59929414000,232
1150,1,6,113.98553320000,22.59257235000,232
1866,1,6,113.98419060000,22.59258438000,232
1744,3,6,113.98690680000,22.59259822000,232
171,10,6,113.98854260000,22.59336618000,232
765,1,5,113.88308570000,22.79706448000,233
1516,1,4,114.07301520000,22.53610772000,234
1861,1,8,114.07586370000,22.53628434000,234
1692,1,5,113.82658410000,22.75272624000,235
1015,1,9,113.82988300000,22.75184671000,235
1962,3,5,113.97730300000,22.72436538000,236
42,10,6,113.97682780000,22.72921638000,236
1618,12,6,113.97547110000,22.72758277000,236
487,4,7,113.97715820000,22.72554647000,236
1425,1,9,114.26473510000,22.70628610000,237
122,12,4,114.23014250000,22.55957429000,238
1432,13,5,114.23167240000,22.55732328000,238
1579,1,7,114.22736900000,22.55866669000,238
1760,1,4,114.11700910000,22.61103696000,239
411,1,6,114.11445250000,22.61416014000,239
1002,1,8,114.11243410000,22.61733095000,239
1187,1,5,113.88516320000,22.72061152000,240
89,4,6,113.88588310000,22.72026296000,240
1202,6,6,113.88612860000,22.71694998000,240
1459,9,6,113.88280620000,22.71916462000,240
1740,7,7,113.88507530000,22.71778325000,240
479,10,7,113.88286120000,22.72067424000,240
446,1,10,114.40510740000,22.77520683000,241
1924,1,3,113.91752710000,22.72183077000,242
456,7,6,113.91582470000,22.71846420000,242
258,15,6,113.91976150000,22.71927130000,242
1278,7,7,113.91668750000,22.71836248000,242
1404,4,6,114.10272810000,22.71988650000,243
805,1,7,114.09812230000,22.71939316000,243
353,7,7,114.10345680000,22.72288798000,243
1528,1,8,114.02716270000,22.63621566000,244
1525,1,3,113.90856830000,22.58446880000,245
1681,1,11,113.93043530000,22.50518507000,246
537,3,11,113.86891450000,22.50307986000,247
1066,3,5,114.34890820000,22.76434466000,248
225,1,7,114.34338290000,22.75856690000,248
392,18,7,114.34625690000,22.75969558000,248
972,1,4,114.29148180000,22.58892502000,249
1542,1,4,113.87440930000,22.58226338000,250
1369,1,4,113.87833430000,22.58570227000,250
877,4,5,113.87901250000,22.58393899000,250
168,3,6,113.87914080000,22.58134339000,250
1073,6,7,113.87714080000,22.58111286000,250
1129,4,8,113.87629120000,22.58469075000,250
441,12,6,114.27925080000,22.66839408000,251
1662,9,8,114.28176080000,22.66931775000,251
708,3,5,114.20994450000,22.70807763000,252
753,4,7,114.21098040000,22.71034428000,252
1957,1,6,114.01397280000,22.75095175000,253
735,25,6,114.01419620000,22.75163290000,253
252,1,5,113.93040620000,22.68073678000,254
1938,4,6,113.93353420000,22.68098087000,254
626,1,3,114.23512960000,22.70908286000,255
1405,3,4,113.99453390000,22.53990409000,256
1987,3,6,113.99056480000,22.54190003000,256
1255,4,6,113.99312040000,22.54008338000,256
266,9,6,113.99398200000,22.54387652000,256
503,1,7,113.99274740000,22.53923456000,256
1030,4,7,113.99208890000,22.54300533000,256
971,6,4,114.22629330000,22.68804049000,257
1710,4,6,114.22543220000,22.68667121000,257
1804,1,7,114.22918610000,22.68868719000,257
1969,1,5,114.29081890000,22.67684935000,258
572,7,7,114.29177210000,22.67397055000,258
154,1,8,114.29337210000,22.67658946000,258
628,3,6,114.00146400000,22.63733905000,259
1325,1,11,114.00367010000,22.64241144000,259
1759,1,4,113.85192060000,22.76363961000,260
1384,7,6,113.84930220000,22.76615663000,260
1535,1,6,114.34244920000,22.69627422000,261
356,3,5,113.89612690000,22.51793372000,262
