ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Cooking_fre
408,1,2,3,7,1,3,0,0,4,1,2
414,1,2,3,9,1,3,0,0,3,1,5
415,1,2,5,7,2,2,0,0,2,0,3
418,0,4,5,7,2,2,0,0,4,1,5
420,0,3,6,6,2,4,1,1,4,1,4
423,1,2,2,7,2,2,0,0,4,1,3
426,1,3,4,6,2,1,0,0,2,0,3
427,1,2,4,7,2,3,0,0,3,1,5
432,1,2,2,7,1,3,0,0,7,1,2
435,0,2,1,7,1,6,1,2,5,1,5
437,1,3,5,7,2,1,0,0,4,1,3
438,0,2,3,7,2,3,0,0,4,1,3
440,1,3,5,7,2,3,1,1,4,1,3
441,1,3,5,7,2,2,0,0,5,1,5
446,1,2,2,7,2,3,0,0,2,1,4
447,1,2,6,9,2,1,0,0,2,1,4
451,0,3,3,6,2,3,0,1,5,1,3
453,1,2,3,7,1,2,0,1,2,1,5
456,1,3,5,6,2,1,0,0,3,1,3
457,1,1,1,7,1,4,1,0,1,1,5
460,1,3,5,7,2,3,0,0,3,1,5
465,1,3,5,6,2,4,2,0,3,1,3
470,0,4,7,7,2,3,2,0,6,1,4
475,1,3,6,7,2,1,0,0,3,0,3
485,1,2,2,7,1,3,0,1,1,1,3
490,1,3,7,9,2,3,1,0,4,1,4
493,1,1,1,5,1,3,1,0,2,0,2
496,1,4,6,7,2,3,1,0,5,1,4
498,0,3,6,7,2,1,1,0,4,0,3
503,0,3,3,6,4,1,0,0,2,0,3
504,1,2,6,9,2,2,0,0,4,1,4
508,1,3,2,6,2,4,1,2,2,1,4
509,1,4,5,7,2,6,1,2,5,1,5
510,0,3,2,5,4,2,0,0,4,0,3
512,1,2,3,7,2,6,1,2,7,1,5
517,1,2,4,7,2,2,0,0,3,0,4
528,0,3,3,6,2,3,0,1,2,1,2
539,1,4,5,7,2,4,1,1,3,0,5
540,1,3,6,7,2,3,1,0,6,1,5
541,1,4,7,7,2,5,1,2,5,1,4
554,1,3,5,7,2,2,0,0,2,0,5
563,0,4,7,7,2,4,2,0,6,1,4
566,1,3,5,7,2,2,0,0,4,1,3
568,1,3,4,6,2,2,0,0,2,1,4
569,1,2,4,6,4,4,1,0,4,1,4
572,1,2,6,7,2,4,2,0,3,1,5
573,1,3,4,7,2,1,0,0,3,0,5
576,1,2,6,7,2,3,0,0,4,1,5
578,0,3,5,6,2,4,1,1,4,1,3
580,1,2,3,7,2,2,0,0,1,0,4
588,1,3,4,7,2,5,2,1,3,0,3
590,1,2,3,6,2,3,0,0,3,1,3
591,1,3,6,7,2,3,1,2,4,1,4
592,1,2,6,7,2,1,0,0,2,1,5
595,0,3,6,7,2,4,1,1,4,1,3
604,1,3,4,6,2,1,0,0,2,0,4
607,0,2,2,7,2,3,0,0,4,1,4
612,1,2,3,7,1,3,0,0,3,1,3
614,1,3,6,9,2,5,1,2,4,1,5
616,0,3,5,6,2,4,1,1,4,1,3
618,1,3,5,7,2,2,0,0,2,0,3
623,0,3,4,6,2,3,0,1,5,1,3
624,1,4,6,7,2,5,1,2,5,1,5
628,1,3,3,7,2,4,1,1,3,1,3
632,1,5,6,7,2,2,0,0,3,1,4
638,1,3,4,7,2,5,1,2,2,1,5
639,0,3,3,7,2,1,0,0,1,0,4
643,0,4,7,9,2,5,1,2,7,1,4
645,1,4,6,6,2,3,1,0,3,1,5
646,1,3,5,6,2,3,0,0,5,1,3
647,1,2,2,2,2,6,0,2,2,0,4
648,0,4,7,7,2,4,2,0,6,1,3
649,0,3,5,7,2,1,0,0,2,1,4
659,0,4,3,6,2,3,1,1,4,1,5
661,1,3,4,6,2,2,0,0,3,1,3
663,0,3,6,7,2,5,1,2,4,0,5
667,1,3,4,6,2,4,1,1,4,1,3
668,1,2,4,7,2,1,0,0,3,0,4
669,1,3,5,7,2,3,1,0,4,1,5
670,0,2,2,7,1,1,0,0,2,0,4
678,0,3,7,7,2,1,0,0,3,1,3
679,1,3,5,7,2,4,1,1,4,1,3
681,1,3,3,7,2,3,0,0,2,1,4
685,1,2,2,6,2,3,1,0,2,1,4
688,1,1,1,5,1,4,2,0,2,1,3
689,1,2,6,7,2,2,0,1,4,1,4
691,1,4,4,5,2,5,1,2,2,0,4
692,0,5,7,7,2,3,1,0,5,1,4
694,1,4,5,7,2,4,2,0,4,1,4
695,0,3,4,7,2,4,2,0,3,1,3
697,1,2,5,7,2,2,0,0,4,1,5
698,0,3,7,9,2,2,0,0,5,1,4
712,1,3,6,7,2,2,0,0,5,1,3
722,1,3,6,7,2,2,0,0,5,1,3
725,1,4,5,6,2,3,1,0,2,1,3
726,1,3,3,7,4,5,1,0,3,0,5
728,0,4,5,7,2,3,1,0,4,1,3
731,1,2,2,6,1,5,0,0,2,0,5
735,1,2,2,6,1,3,3,0,4,0,4
736,0,3,6,7,2,4,1,1,3,0,3
738,1,4,3,6,2,2,0,0,3,0,2
740,1,3,2,5,2,3,1,0,3,1,4
743,1,2,2,7,2,2,2,2,1,1,4
745,1,3,6,7,2,2,0,2,5,1,3
748,1,3,5,6,2,3,0,0,3,0,4
750,1,3,5,7,2,4,1,1,2,1,3
755,1,3,6,7,2,3,1,0,6,1,5
757,1,2,3,7,2,4,0,1,4,1,5
758,1,3,7,7,2,2,0,0,3,0,3
760,1,3,3,7,2,3,1,2,3,1,3
768,1,3,2,6,2,3,1,0,2,1,4
771,1,3,5,6,2,4,1,1,3,1,3
772,1,3,6,7,2,3,0,0,5,0,5
779,0,4,4,5,2,8,2,2,3,1,5
781,1,3,6,7,2,1,0,0,3,0,3
782,1,2,6,7,2,1,0,0,2,1,4
791,0,3,6,7,2,3,1,0,3,1,4
792,1,2,3,6,2,6,1,1,4,1,5
794,1,3,7,7,2,2,0,0,5,1,3
795,0,3,5,6,2,3,1,0,4,1,4
797,1,3,3,6,2,2,0,0,2,1,4
799,1,3,7,7,2,3,1,0,5,1,3
800,0,5,5,7,2,3,1,0,6,1,3
801,1,3,7,6,2,2,0,0,4,1,3
802,1,3,5,7,2,2,0,0,2,1,3
806,1,3,5,7,2,1,0,0,2,1,5
807,0,3,6,7,2,4,1,0,6,1,4
808,1,2,3,7,1,3,0,0,3,1,5
809,0,3,2,7,2,5,2,0,2,0,4
811,1,2,2,7,2,2,5,2,4,1,4
816,0,4,5,6,2,5,2,0,3,1,4
818,1,3,4,7,2,2,0,0,2,0,4
823,0,4,1,5,2,3,0,0,1,1,3
824,0,3,4,7,2,4,1,1,4,1,5
826,1,4,4,6,2,3,1,0,2,1,4
831,0,3,4,6,2,4,2,0,3,0,3
832,1,3,5,7,1,3,0,0,3,1,4
835,1,2,3,6,2,1,1,0,1,0,5
836,0,3,5,9,2,4,1,1,4,1,3
839,0,3,5,7,2,2,0,0,3,1,5
840,1,3,4,7,2,2,0,0,3,1,4
841,1,3,3,5,4,3,0,0,3,1,4
843,1,2,4,6,2,5,1,0,3,1,4
845,1,3,6,7,2,3,1,0,3,0,5
847,1,3,4,7,2,3,0,1,2,1,3
855,1,4,6,7,2,5,2,1,4,1,5
860,1,2,1,6,1,3,0,0,2,0,4
861,1,2,6,7,2,3,0,0,3,1,3
862,1,2,3,5,2,3,0,0,2,1,3
863,1,3,4,6,2,1,1,0,2,0,3
864,0,3,7,7,2,3,0,0,7,1,3
865,1,2,1,7,1,4,0,0,2,1,4
866,0,3,4,6,2,1,0,0,3,0,3
867,1,2,6,6,2,5,1,2,4,1,5
868,1,4,7,7,2,1,0,0,5,0,3
869,1,3,6,7,2,5,1,2,5,1,5
870,0,3,6,7,2,3,1,0,4,1,2
