ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC
738,1,4,3,6,2,2,0,0,3,0,2
740,1,3,2,5,2,3,1,0,3,1,1
743,1,2,2,7,2,2,2,2,1,1,2
745,1,3,6,7,2,2,0,2,5,1,1
748,1,3,5,6,2,3,0,0,3,0,2
750,1,3,5,7,2,4,1,1,2,1,3
755,1,3,6,7,2,3,1,0,6,1,1
757,1,2,3,7,2,4,0,1,4,1,1
758,1,3,7,7,2,2,0,0,3,0,1
760,1,3,3,7,2,3,1,2,3,1,3
768,1,3,2,6,2,3,1,0,2,1,1
771,1,3,5,6,2,4,1,1,3,1,1
772,1,3,6,7,2,3,0,0,5,0,2
779,0,4,4,5,2,8,2,2,3,1,4
781,1,3,6,7,2,1,0,0,3,0,2
782,1,2,6,7,2,1,0,0,2,1,0
791,0,3,6,7,2,3,1,0,3,1,2
792,1,2,3,6,2,6,1,1,4,1,2
794,1,3,7,7,2,2,0,0,5,1,1
795,0,3,5,6,2,3,1,0,4,1,2
797,1,3,3,6,2,2,0,0,2,1,1
799,1,3,7,7,2,3,1,0,5,1,2
800,0,5,5,7,2,3,1,0,6,1,2
801,1,3,7,6,2,2,0,0,4,1,1
802,1,3,5,7,2,2,0,0,2,1,2
806,1,3,5,7,2,1,0,0,2,1,2
807,0,3,6,7,2,4,1,0,6,1,3
808,1,2,3,7,1,3,0,0,3,1,3
809,0,3,2,7,2,5,2,0,2,0,3
811,1,2,2,7,2,2,5,2,4,1,2
816,0,4,5,6,2,5,2,0,3,1,1
818,1,3,4,7,2,2,0,0,2,0,1
823,0,4,1,5,2,3,0,0,1,1,0
824,0,3,4,7,2,4,1,1,4,1,3
826,1,4,4,6,2,3,1,0,2,1,1
831,0,3,4,6,2,4,2,0,3,0,2
832,1,3,5,7,1,3,0,0,3,1,1
835,1,2,3,6,2,1,1,0,1,0,1
836,0,3,5,9,2,4,1,1,4,1,2
839,0,3,5,7,2,2,0,0,3,1,3
840,1,3,4,7,2,2,0,0,3,1,2
841,1,3,3,5,4,3,0,0,3,1,2
843,1,2,4,6,2,5,1,0,3,1,1
845,1,3,6,7,2,3,1,0,3,0,3
847,1,3,4,7,2,3,0,1,2,1,2
855,1,4,6,7,2,5,2,1,4,1,2
860,1,2,1,6,1,3,0,0,2,0,3
861,1,2,6,7,2,3,0,0,3,1,3
862,1,2,3,5,2,3,0,0,2,1,1
863,1,3,4,6,2,1,1,0,2,0,1
864,0,3,7,7,2,3,0,0,7,1,2
865,1,2,1,7,1,4,0,0,2,1,1
866,0,3,4,6,2,1,0,0,3,0,2
867,1,2,6,6,2,5,1,2,4,1,2
868,1,4,7,7,2,1,0,0,5,0,2
869,1,3,6,7,2,5,1,2,5,1,3
870,0,3,6,7,2,3,1,0,4,1,2
