ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Cooking_fre,Bread_machine
470,0,4,7,7,2,3,2,0,6,1,4,1
475,1,3,6,7,2,1,0,0,3,0,3,0
485,1,2,2,7,1,3,0,1,1,1,3,0
490,1,3,7,9,2,3,1,0,4,1,4,0
493,1,1,1,5,1,3,1,0,2,0,2,0
496,1,4,6,7,2,3,1,0,5,1,4,0
498,0,3,6,7,2,1,1,0,4,0,3,0
503,0,3,3,6,4,1,0,0,2,0,3,0
504,1,2,6,9,2,2,0,0,4,1,4,1
508,1,3,2,6,2,4,1,2,2,1,4,0
509,1,4,5,7,2,6,1,2,5,1,5,1
510,0,3,2,5,4,2,0,0,4,0,3,1
512,1,2,3,7,2,6,1,2,7,1,5,1
517,1,2,4,7,2,2,0,0,3,0,4,1
528,0,3,3,6,2,3,0,1,2,1,2,1
539,1,4,5,7,2,4,1,1,3,0,5,0
540,1,3,6,7,2,3,1,0,6,1,5,1
541,1,4,7,7,2,5,1,2,5,1,4,1
554,1,3,5,7,2,2,0,0,2,0,5,0
563,0,4,7,7,2,4,2,0,6,1,4,1
566,1,3,5,7,2,2,0,0,4,1,3,1
568,1,3,4,6,2,2,0,0,2,1,4,0
569,1,2,4,6,4,4,1,0,4,1,4,0
572,1,2,6,7,2,4,2,0,3,1,5,0
573,1,3,4,7,2,1,0,0,3,0,5,0
576,1,2,6,7,2,3,0,0,4,1,5,0
578,0,3,5,6,2,4,1,1,4,1,3,0
580,1,2,3,7,2,2,0,0,1,0,4,0
588,1,3,4,7,2,5,2,1,3,0,3,0
590,1,2,3,6,2,3,0,0,3,1,3,1
591,1,3,6,7,2,3,1,2,4,1,4,0
592,1,2,6,7,2,1,0,0,2,1,5,1
595,0,3,6,7,2,4,1,1,4,1,3,0
604,1,3,4,6,2,1,0,0,2,0,4,0
607,0,2,2,7,2,3,0,0,4,1,4,1
612,1,2,3,7,1,3,0,0,3,1,3,0
614,1,3,6,9,2,5,1,2,4,1,5,0
616,0,3,5,6,2,4,1,1,4,1,3,0
618,1,3,5,7,2,2,0,0,2,0,3,0
623,0,3,4,6,2,3,0,1,5,1,3,0
624,1,4,6,7,2,5,1,2,5,1,5,1
628,1,3,3,7,2,4,1,1,3,1,3,1
632,1,5,6,7,2,2,0,0,3,1,4,0
638,1,3,4,7,2,5,1,2,2,1,5,0
639,0,3,3,7,2,1,0,0,1,0,4,0
643,0,4,7,9,2,5,1,2,7,1,4,1
645,1,4,6,6,2,3,1,0,3,1,5,0
646,1,3,5,6,2,3,0,0,5,1,3,1
647,1,2,2,2,2,6,0,2,2,0,4,1
648,0,4,7,7,2,4,2,0,6,1,3,1
649,0,3,5,7,2,1,0,0,2,1,4,0
659,0,4,3,6,2,3,1,1,4,1,5,0
661,1,3,4,6,2,2,0,0,3,1,3,0
663,0,3,6,7,2,5,1,2,4,0,5,1
667,1,3,4,6,2,4,1,1,4,1,3,0
668,1,2,4,7,2,1,0,0,3,0,4,1
669,1,3,5,7,2,3,1,0,4,1,5,0
670,0,2,2,7,1,1,0,0,2,0,4,0
678,0,3,7,7,2,1,0,0,3,1,3,0
679,1,3,5,7,2,4,1,1,4,1,3,1
681,1,3,3,7,2,3,0,0,2,1,4,0
685,1,2,2,6,2,3,1,0,2,1,4,0
688,1,1,1,5,1,4,2,0,2,1,3,0
689,1,2,6,7,2,2,0,1,4,1,4,1
691,1,4,4,5,2,5,1,2,2,0,4,0
692,0,5,7,7,2,3,1,0,5,1,4,1
694,1,4,5,7,2,4,2,0,4,1,4,1
695,0,3,4,7,2,4,2,0,3,1,3,0
697,1,2,5,7,2,2,0,0,4,1,5,1
698,0,3,7,9,2,2,0,0,5,1,4,0
712,1,3,6,7,2,2,0,0,5,1,3,0
722,1,3,6,7,2,2,0,0,5,1,3,0
725,1,4,5,6,2,3,1,0,2,1,3,0
726,1,3,3,7,4,5,1,0,3,0,5,0
728,0,4,5,7,2,3,1,0,4,1,3,0
731,1,2,2,6,1,5,0,0,2,0,5,1
735,1,2,2,6,1,3,3,0,4,0,4,0
736,0,3,6,7,2,4,1,1,3,0,3,0
738,1,4,3,6,2,2,0,0,3,0,2,0
740,1,3,2,5,2,3,1,0,3,1,4,0
743,1,2,2,7,2,2,2,2,1,1,4,1
745,1,3,6,7,2,2,0,2,5,1,3,0
748,1,3,5,6,2,3,0,0,3,0,4,0
750,1,3,5,7,2,4,1,1,2,1,3,1
755,1,3,6,7,2,3,1,0,6,1,5,1
757,1,2,3,7,2,4,0,1,4,1,5,0
758,1,3,7,7,2,2,0,0,3,0,3,0
760,1,3,3,7,2,3,1,2,3,1,3,0
768,1,3,2,6,2,3,1,0,2,1,4,0
771,1,3,5,6,2,4,1,1,3,1,3,1
772,1,3,6,7,2,3,0,0,5,0,5,0
779,0,4,4,5,2,8,2,2,3,1,5,1
781,1,3,6,7,2,1,0,0,3,0,3,0
782,1,2,6,7,2,1,0,0,2,1,4,0
791,0,3,6,7,2,3,1,0,3,1,4,0
792,1,2,3,6,2,6,1,1,4,1,5,0
794,1,3,7,7,2,2,0,0,5,1,3,0
795,0,3,5,6,2,3,1,0,4,1,4,0
797,1,3,3,6,2,2,0,0,2,1,4,0
799,1,3,7,7,2,3,1,0,5,1,3,1
800,0,5,5,7,2,3,1,0,6,1,3,0
801,1,3,7,6,2,2,0,0,4,1,3,1
802,1,3,5,7,2,2,0,0,2,1,3,0
806,1,3,5,7,2,1,0,0,2,1,5,1
807,0,3,6,7,2,4,1,0,6,1,4,1
808,1,2,3,7,1,3,0,0,3,1,5,0
809,0,3,2,7,2,5,2,0,2,0,4,0
811,1,2,2,7,2,2,5,2,4,1,4,0
816,0,4,5,6,2,5,2,0,3,1,4,0
818,1,3,4,7,2,2,0,0,2,0,4,1
823,0,4,1,5,2,3,0,0,1,1,3,0
824,0,3,4,7,2,4,1,1,4,1,5,1
826,1,4,4,6,2,3,1,0,2,1,4,0
831,0,3,4,6,2,4,2,0,3,0,3,0
832,1,3,5,7,1,3,0,0,3,1,4,0
835,1,2,3,6,2,1,1,0,1,0,5,1
836,0,3,5,9,2,4,1,1,4,1,3,0
839,0,3,5,7,2,2,0,0,3,1,5,0
840,1,3,4,7,2,2,0,0,3,1,4,0
841,1,3,3,5,4,3,0,0,3,1,4,0
843,1,2,4,6,2,5,1,0,3,1,4,0
845,1,3,6,7,2,3,1,0,3,0,5,0
847,1,3,4,7,2,3,0,1,2,1,3,1
855,1,4,6,7,2,5,2,1,4,1,5,0
860,1,2,1,6,1,3,0,0,2,0,4,1
861,1,2,6,7,2,3,0,0,3,1,3,1
862,1,2,3,5,2,3,0,0,2,1,3,0
863,1,3,4,6,2,1,1,0,2,0,3,0
864,0,3,7,7,2,3,0,0,7,1,3,1
865,1,2,1,7,1,4,0,0,2,1,4,0
866,0,3,4,6,2,1,0,0,3,0,3,0
867,1,2,6,6,2,5,1,2,4,1,5,1
868,1,4,7,7,2,1,0,0,5,0,3,1
869,1,3,6,7,2,5,1,2,5,1,5,0
870,0,3,6,7,2,3,1,0,4,1,2,0
