PID,Yearly_electricity,Certainty,District
7638, 2103.6700000000005, 0, 6
16377, 2573.212900000001, 0, 2
16824, 2103.6700000000005, 0.4, 10
11690, 2718.117100000001, 0.2, 11
7635, 2109.6700000000005, 0.4, 9
12464, 2581.6389250000007, 0.4, 4
14914, 2679.6860000000006, 0.2, 9
11010, 2576.9022500000005, 0.6, 6
11628, 2718.117100000001, 0.4, 12
11062, 2103.6700000000005, 0, 8
17703, 2103.6700000000005, 0.4, 8
5241, 2649.5568000000007, 0.4, 8
5679, 2649.5568000000007, 0, 12
12287, 4679.451818181818, 0, 11
11618, 2743.7017, 0.4, 3
10767, 2636.305750000001, 0, 10
19540, 3851.553, 0.6, 10
9508, 2109.6700000000005, 0.4, 9
11096, 3808.2554999999998, 0.4, 3
19608, 3771.0237272727277, 0.2, 11
13497, 2662.922900000001, 0, 10
13653, 2103.6700000000005, 0, 6
17001, 2103.6700000000005, 0.2, 13
7091, 2713.4426000000008, 0.4, 10
15117, 3383.521363636364, 0, 8
7376, 2729.0629000000004, 0, 6
2780, 2248.1935750000007, 0.2, 3
551, 3745.198181818182, 0.4, 9
13579, 2103.6700000000005, 0, 5
17661, 3763.38, 0.6, 16
20163, 2103.6700000000005, 0.4, 9
12078, 2718.117100000001, 0, 10
1536, 2484.898675000001, 0.2, 6
16840, 2808.010550000001, 0, 3
1243, 2655.9928750000004, 0.4, 3
3736, 2103.6700000000005, 0.2, 11
15980, 2246.6107000000006, 0.4, 12
19648, 2619.5053375, 0.4, 5
4010, 3239.339090909091, 0.4, 11
8387, 2694.6919000000003, 0, 12
9480, 2704.7467, 0, 11
1327, 2918.0840909090916, 0.4, 3
11862, 2743.7017, 0.2, 6
17701, 2103.6700000000005, 0, 9
15869, 2275.4823600000004, 0.4, 16
8378, 4175.961636363637, 0.2, 10
17617, 3763.38, 0.4, 11
5510, 2649.5568000000007, 0.4, 8
21446, 2597.8225000000007, 0.4, 12
3483, 2566.1658250000005, 0.6, 16
6068, 2729.0629000000004, 0.2, 16
6983, 2713.4426000000008, 0, 4
5553, 2654.690400000001, 0.6, 2
218, 2918.0840909090916, 0.2, 11
9195, 2718.117100000001, 0.4, 5
465, 2321.8516000000004, 0, 11
17338, 2103.6700000000005, 0, 12
13636, 2103.6700000000005, 0.2, 15
13236, 2723.3929000000003, 0.2, 16
3552, 2713.4426000000008, 0.2, 11
11105, 3405.8639090909096, 0, 8
3030, 2244.1300750000005, 0, 14
8304, 2109.6700000000005, 0.2, 5
5737, 2649.5568000000007, 0.6, 3
20920, 2701.3447, 0.4, 3
20631, 2133.6700000000005, 0.2, 5
5284, 2649.5568000000007, 0.4, 12
15721, 2103.6700000000005, 0, 7
2916, 2718.9697, 0, 1
18024, 3733.351363636364, 0.2, 3
13252, 2723.3929000000003, 0.2, 9
10713, 2636.305750000001, 0.2, 9
19373, 2792.2229200000006, 0, 16
5494, 2649.5568000000007, 0.4, 12
2032, 2652.199040000001, 0, 14
20859, 2662.922900000001, 0.4, 12
12871, 3962.6341818181827, 0.2, 15
5412, 2649.5568000000007, 0, 12
14449, 2649.5568000000007, 0.2, 9
3410, 2713.4426000000008, 0, 3
18798, 2264.478625, 0.4, 9
50, 3068.7421818181824, 0.4, 9
10252, 2828.4731500000003, 0, 6
13038, 2718.117100000001, 0, 8
4193, 3918.3374909090917, 0.6, 13
6687, 2702.5660000000003, 0, 3
