ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day
794,1,3,7,7,2,2,0,0,5,1,1,4,4.5,4.5,3
795,0,3,5,6,2,3,1,0,4,1,2,2,4.5,9,2
797,1,3,3,6,2,2,0,0,2,1,1,4,4.5,9,5
799,1,3,7,7,2,3,1,0,5,1,2,4,9,4.5,5
800,0,5,5,7,2,3,1,0,6,1,2,4,9,9,4
801,1,3,7,6,2,2,0,0,4,1,1,3,1.5,1.5,1
802,1,3,5,7,2,2,0,0,2,1,2,5,4.5,9,1
806,1,3,5,7,2,1,0,0,2,1,2,2,15,15,3
807,0,3,6,7,2,4,1,0,6,1,3,3,9,9,2
808,1,2,3,7,1,3,0,0,3,1,3,5,9,9,1
809,0,3,2,7,2,5,2,0,2,0,3,3,4.5,9,2
811,1,2,2,7,2,2,5,2,4,1,2,2,21,21,1
816,0,4,5,6,2,5,2,0,3,1,1,6,4.5,4.5,5
818,1,3,4,7,2,2,0,0,2,0,1,7,9,15,4
823,0,4,1,5,2,3,0,0,1,1,0,0,0,0,0
824,0,3,4,7,2,4,1,1,4,1,3,4,4.5,15,4
826,1,4,4,6,2,3,1,0,2,1,1,3,4.5,4.5,4
831,0,3,4,6,2,4,2,0,3,0,2,3,9,15,1
832,1,3,5,7,1,3,0,0,3,1,1,3,9,4.5,1
835,1,2,3,6,2,1,1,0,1,0,1,2,1.5,9,5
836,0,3,5,9,2,4,1,1,4,1,2,3,1.5,9,2
839,0,3,5,7,2,2,0,0,3,1,3,4,4.5,9,1
840,1,3,4,7,2,2,0,0,3,1,2,5,4.5,9,3
841,1,3,3,5,4,3,0,0,3,1,2,4,4.5,9,4
843,1,2,4,6,2,5,1,0,3,1,1,5,4.5,4.5,5
845,1,3,6,7,2,3,1,0,3,0,3,4,9,15,1
847,1,3,4,7,2,3,0,1,2,1,2,3,4.5,9,4
855,1,4,6,7,2,5,2,1,4,1,2,3,1.5,1.5,4
860,1,2,1,6,1,3,0,0,2,0,3,4,4.5,9,2
861,1,2,6,7,2,3,0,0,3,1,3,4,4.5,9,3
862,1,2,3,5,2,3,0,0,2,1,1,3,4.5,9,2
863,1,3,4,6,2,1,1,0,2,0,1,3,4.5,9,3
864,0,3,7,7,2,3,0,0,7,1,2,3,1.5,1.5,2
865,1,2,1,7,1,4,0,0,2,1,1,6,9,9,5
866,0,3,4,6,2,1,0,0,3,0,2,6,4.5,9,1
867,1,2,6,6,2,5,1,2,4,1,2,3,21,21,6
868,1,4,7,7,2,1,0,0,5,0,2,5,4.5,21,4
869,1,3,6,7,2,5,1,2,5,1,3,4,4.5,4.5,2
870,0,3,6,7,2,3,1,0,4,1,2,3,9,15,1
