ID,gender,age,income,education,Status,Num_family,Num_child,Num_old,Household_income,House_ownership,Num_cooling_AC,Num_month_cooling,Cool_hr_weekday,Cool_hr_weekend,Temp_summer_day,Temp_summer_night
211,0,3,7,7,2,3,1,0,7,1,1,5,4.5,4.5,1,1
213,1,4,4,6,2,5,1,2,4,1,1,4,4.5,9,4,4
217,1,2,2,7,2,2,0,2,1,1,1,4,9,9,3,2
219,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,3,1
221,0,3,3,5,2,1,1,0,1,0,1,3,4.5,9,3,3
222,0,4,7,9,2,5,1,2,7,1,2,4,9,21,2,1
223,0,3,1,6,2,1,0,0,1,0,1,2,1.5,4.5,3,2
226,1,3,6,9,2,3,1,0,5,1,2,3,4.5,4.5,3,4
227,1,3,3,7,2,3,0,2,2,1,1,3,4.5,4.5,1,1
229,0,3,3,5,2,2,1,0,1,0,1,3,4.5,9,3,3
231,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,2,1
233,1,3,6,7,2,3,1,0,3,0,2,2,4.5,15,1,1
234,1,3,7,7,2,2,0,0,4,1,2,3,9,15,2,2
235,1,3,6,9,2,3,0,2,5,1,1,3,9,4.5,4,4
236,1,4,6,7,2,4,1,2,6,1,2,3,9,9,2,1
237,1,3,6,7,2,1,0,0,5,0,1,4,4.5,15,4,2
240,0,2,3,7,1,1,0,0,3,0,1,3,4.5,4.5,4,3
242,0,3,6,7,2,3,1,0,3,0,2,2,4.5,15,1,1
245,1,3,3,6,2,4,1,1,4,1,1,3,4.5,9,5,2
246,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3,3
248,1,4,7,6,2,6,2,2,6,1,3,4,4.5,15,4,2
249,0,3,3,7,2,4,0,1,4,1,1,3,4.5,9,5,5
250,1,2,2,7,1,4,1,0,4,1,3,4,4.5,15,6,5
253,0,3,3,7,2,3,0,1,3,1,1,5,1.5,9,3,2
254,1,3,4,6,2,4,1,1,4,1,1,3,4.5,9,5,2
255,1,2,7,7,2,1,0,0,2,1,0,0,0,0,0,0
257,0,4,7,9,2,5,1,2,6,1,2,5,9,15,2,2
259,1,2,4,7,2,5,1,1,3,1,2,3,9,9,3,3
260,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3,3
261,0,2,7,9,2,2,0,0,6,1,3,3,1.5,4.5,1,1
262,1,2,4,7,2,1,1,0,3,0,1,4,4.5,4.5,2,3
263,0,3,4,9,2,5,1,0,4,1,2,5,4.5,9,4,3
267,0,3,4,9,1,1,0,0,1,0,1,4,1.5,4.5,1,1
270,1,3,5,6,2,4,1,1,4,1,1,4,4.5,9,4,2
271,1,3,4,5,2,4,1,1,4,1,1,3,4.5,9,4,2
272,1,4,5,6,2,6,2,2,4,1,2,3,4.5,4.5,4,4
273,0,3,3,7,2,2,0,0,4,0,1,3,4.5,4.5,5,3
275,0,3,3,5,2,2,1,0,1,0,1,3,9,15,3,3
277,0,4,7,7,2,3,1,0,4,1,1,2,4.5,9,1,2
278,1,3,4,6,2,4,1,1,4,1,1,4,4.5,9,4,1
279,1,3,7,7,2,5,1,2,7,0,1,3,4.5,9,5,4
281,1,3,7,7,2,2,0,0,4,1,1,5,9,15,4,3
283,1,3,5,7,2,5,1,0,3,1,2,5,4.5,9,4,3
285,0,4,5,6,2,6,1,2,4,1,2,3,9,9,4,4
286,1,5,5,6,2,5,2,2,3,1,1,3,9,9,4,4
287,0,2,1,7,1,1,0,0,1,0,1,5,21,15,2,1
288,0,3,3,7,2,4,0,1,4,1,1,2,4.5,9,5,5
289,1,3,5,7,2,3,1,0,3,1,3,4,4.5,9,3,4
290,0,3,6,7,2,3,1,0,6,1,3,3,9,9,3,2
291,0,3,4,5,2,4,1,1,4,1,1,4,4.5,9,4,1
292,1,3,7,7,2,4,1,2,6,0,1,3,9,9,6,5
293,1,4,7,6,2,4,1,1,5,1,3,3,4.5,9,4,3
294,1,2,7,7,2,1,0,0,2,1,1,3,1.5,1.5,1,1
296,0,3,7,9,2,2,0,0,5,1,1,7,4.5,15,3,3
297,1,2,6,7,2,1,0,0,2,1,0,0,0,0,0,0
299,1,3,6,7,2,4,1,1,4,1,1,3,4.5,4.5,4,4
302,1,5,5,6,2,2,0,2,1,1,1,3,1.5,1.5,4,4
314,0,3,3,5,2,1,0,0,1,0,1,4,9,9,1,1
316,0,2,3,6,2,1,0,0,3,0,1,2,4.5,4.5,5,4
317,1,3,6,6,2,4,1,1,4,1,1,4,4.5,9,5,2
319,1,4,6,7,2,5,1,2,5,1,2,3,4.5,1.5,1,1
326,1,3,5,6,2,3,1,0,2,1,1,4,1.5,4.5,4,4
328,1,3,5,7,2,4,1,1,4,1,1,4,4.5,9,4,2
330,1,4,6,6,2,4,1,1,4,1,3,4,4.5,15,3,3
332,0,3,7,9,2,2,0,0,4,1,1,3,4.5,9,1,1
343,1,4,5,6,2,3,1,0,3,1,1,2,1.5,1.5,3,3
346,1,3,6,7,2,4,1,1,4,1,1,5,4.5,4.5,3,4
347,0,3,3,7,2,4,0,2,4,1,1,3,9,15,5,5
348,0,3,4,6,2,1,0,0,1,0,1,3,9,9,1,1
349,1,3,6,9,2,1,0,0,2,1,1,5,1.5,4.5,2,2
354,1,2,5,7,2,3,0,0,2,1,3,4,9,9,5,5
355,1,2,1,7,1,3,0,0,4,1,2,2,4.5,15,1,1
357,0,4,5,6,2,5,1,2,4,1,1,4,4.5,9,4,4
358,1,2,2,7,1,3,0,1,7,1,2,4,4.5,9,5,1
360,1,3,6,7,2,4,1,1,3,1,2,2,4.5,4.5,3,3
362,1,3,5,5,2,4,1,1,3,1,1,4,4.5,9,4,3
366,1,2,2,7,1,3,0,0,5,1,2,2,4.5,4.5,3,3
368,1,3,5,7,2,3,1,0,6,1,1,3,9,15,3,3
